,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
348,RESIDENTIAL SINGLE FAMILY,4 LYNDHURST DR,"130,460",5/25/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 61,XX053L  187,33.9299021,-83.7974405
349,RESIDENTIAL SINGLE FAMILY,1178 LYNDHURST LANE,"130,460",6/23/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 71,XX053L  197,33.9310868,-83.7969418
350,RESIDENTIAL SINGLE FAMILY,1164 LYNDHURST LANE,"130,460",6/23/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 72,XX053L  198,33.9311422,-83.7967057
351,RESIDENTIAL SINGLE FAMILY,140 WESTMINSTER CT,"130,185",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 25,XX108M  025,33.9298487,-83.644078
352,RESIDENTIAL SINGLE FAMILY,1044 DAURIAN DR,"129,415",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 32,XX121H  032,33.9348065,-83.6281948
353,RESIDENTIAL SINGLE FAMILY,999 DAURIAN DR,"129,415",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 192,XX121H  192,33.9348065,-83.6281948
354,RESIDENTIAL SINGLE FAMILY,911 DAURIAN DR,"129,415",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 196,XX121H  196,33.9348065,-83.6281948
355,RESIDENTIAL SINGLE FAMILY,1205 DAURIAN DR,"129,415",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 185,XX121H  185,33.9348065,-83.6281948
356,RESIDENTIAL SINGLE FAMILY,1069 DAURIAN DR,"129,415",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 189,XX121H  189,33.9348065,-83.6281948
357,RESIDENTIAL SINGLE FAMILY,1150 DAURIAN DR,"129,415",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 37,XX121H  037,33.9348065,-83.6281948
