,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
571,RESIDENTIAL SINGLE FAMILY,36 ELMARRY LANE,"110,055",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 4  PHASE 1A,XX53R  004,33.93704612,-83.79828428
383,RESIDENTIAL SINGLE FAMILY,41 MEAGAN ST,"126,500",10/23/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 88,XX137D  088,33.98695276,-83.55273336
452,RESIDENTIAL SINGLE FAMILY,42 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 5  PHASE 1A,XX053R  005,33.93804345,-83.79664587
453,RESIDENTIAL SINGLE FAMILY,50 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 6  PHASE 1A,XX053R  006,33.93599824,-83.79729621
394,RESIDENTIAL SINGLE FAMILY,52 MEAGAN ST,"126,500",3/7/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 67,XX137D  067,33.98695232,-83.55360171
319,RESIDENTIAL SINGLE FAMILY,56 NATIVITY COVE,"130,900",10/24/23,SINGLE FAMILY HOME,SHEPARDS WALK  LOT 35,BE04A  035,33.95334954,-83.70385861
454,RESIDENTIAL SINGLE FAMILY,58 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 7  PHASE 1A,XX053R  007,33.93563756,-83.7991865
460,RESIDENTIAL SINGLE FAMILY,10 FEENEY ST,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 52  PHASE 1A,XX053R  052,34.0088878,-83.8207359
516,RESIDENTIAL SINGLE FAMILY,61 MEAGAN ST,"118,250",10/23/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 87,XX137D  087,33.98708857,-83.55234698
603,RESIDENTIAL SINGLE FAMILY,646 HUNTINGTON TRC,"99,000",2/8/24,SINGLE FAMILY HOME,HUNTINGTON COVE  LOT 18,XX049D 052,34.01251024,-83.76551376
463,RESIDENTIAL SINGLE FAMILY,270 FINCH COURT,"121,990",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 28,XX111P  028,34.0327049,-83.6200718
464,RESIDENTIAL SINGLE FAMILY,305 FINCH COURT,"121,990",1/8/24,SINGLE FAMILY HOME,FINCH LANDING  LOT 34,XX111P  034,34.0334617,-83.6206253
465,RESIDENTIAL SINGLE FAMILY,220 FINCH CT,"121,990",4/21/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 25,XX111P  025,34.0328826,-83.6192449
466,RESIDENTIAL SINGLE FAMILY,214 FINCH LANDING RD,"121,990",6/6/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 5,XX111P  005,34.0335152,-83.6158828
467,RESIDENTIAL SINGLE FAMILY,2817 SOUTH PORT DR,"121,715",4/19/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 21,XX053L  033,33.930397,-83.795576
468,RESIDENTIAL SINGLE FAMILY,2815 SOUTH PORT DR,"121,715",4/19/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 22,XX053L  034,33.930616,-83.7955099
469,RESIDENTIAL SINGLE FAMILY,2439 KUMBANAD CT,"121,660",6/9/23,SINGLE FAMILY HOME,KERALA   LOT 28A,XX121B 034,33.940033,-83.625799
470,RESIDENTIAL SINGLE FAMILY,436 WATSON RD,"121,275",1/24/24,SINGLE FAMILY HOME,,XX091  002D,33.9692159,-83.713073
471,RESIDENTIAL SINGLE FAMILY,2020 CORBIN DR,"121,000",8/15/23,SINGLE FAMILY HOME,THURMOND PLANTATION  LOT 54,XX125B 054,34.0026226,-83.5819687
472,RESIDENTIAL SINGLE FAMILY,195 PR SMITH BLVD,"121,000",1/8/24,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 31,XX107E  140,33.9629175,-83.6718855
473,RESIDENTIAL SINGLE FAMILY,296 HEARTLAND CIRCLE,"121,000",1/8/24,SINGLE FAMILY HOME,HEARTLAND ESTATES  LOT 66,XX107E  066,33.965197,-83.671266
474,RESIDENTIAL SINGLE FAMILY,78 LAKE MEADOWS DR,"121,000",2/8/24,SINGLE FAMILY HOME,COSBY MEADOWS  LOT 54,XX106F  054,34.0060267,-83.710822
45,RESIDENTIAL SINGLE FAMILY,657 HUNTINGTON TRC,"286,000",9/21/23,SINGLE FAMILY HOME,HUNTINGTON COVE  LOT 8/9,XX049D 042,34.01028119,-83.76685108
476,RESIDENTIAL SINGLE FAMILY,1162 JEANNINE LANE,"120,450",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 45,XX107E  154,33.9647045,-83.6685862
477,RESIDENTIAL SINGLE FAMILY,1142 JEANNINE LANE,"120,450",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 47,XX107E  156,33.9646354,-83.668259
478,RESIDENTIAL SINGLE FAMILY,1126 JEANNINE LANE,"120,450",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 49,XX107E  158,33.9645795,-83.6679943
479,RESIDENTIAL SINGLE FAMILY,1106 JEANNINE LANE,"120,450",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 51,XX107E  160,33.9645016,-83.6676409
480,RESIDENTIAL SINGLE FAMILY,1212 JEANNINE LANE,"120,450",2/8/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 40,XX107E  149,33.9648582,-83.6694093
481,RESIDENTIAL SINGLE FAMILY,1192 JEANNINE LANE,"120,450",2/8/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 42,XX107E  151,33.9648078,-83.6690771
482,RESIDENTIAL SINGLE FAMILY,1182 JEANNINE LANE,"120,450",5/22/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 43,XX107E  152,33.9647736,-83.6689134
483,RESIDENTIAL SINGLE FAMILY,15 LIBERTY COURT,"120,450",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 32,XX107E  141,33.9647525,-83.6700484
484,RESIDENTIAL SINGLE FAMILY,31 LIBERTY COURT,"120,450",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 34,XX107E  143,33.9645307,-83.6701105
485,RESIDENTIAL SINGLE FAMILY,34 LIBERTY COURT,"120,450",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 36,XX107E  145,33.964503,-83.6701182
486,RESIDENTIAL SINGLE FAMILY,30 LIBERTY COURT,"120,450",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 38,XX107E  147,33.9645585,-83.6701027
487,RESIDENTIAL SINGLE FAMILY,1020 DAURIAN DR,"119,625",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 31,XX121H  031,33.9348065,-83.6281948
488,RESIDENTIAL SINGLE FAMILY,955 DAURIAN DR,"119,625",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 194,XX121H  194,33.9348065,-83.6281948
489,RESIDENTIAL SINGLE FAMILY,861 DAURIAN DR,"119,625",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 198,XX121H  198,33.9348065,-83.6281948
490,RESIDENTIAL SINGLE FAMILY,129 CONDOR CT,"119,625",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 172,XX121H  172,33.9337027,-83.6265149
491,RESIDENTIAL SINGLE FAMILY,105 CONDOR CT,"119,625",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 174,XX121H  174,33.9337027,-83.6265149
492,RESIDENTIAL SINGLE FAMILY,85 CONDOR CT,"119,625",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 176,XX121H  176,33.9342612,-83.6242742
493,RESIDENTIAL SINGLE FAMILY,61 CONDOR CT,"119,625",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 178,XX121H  178,33.9337027,-83.6265149
494,RESIDENTIAL SINGLE FAMILY,45 CONDOR CT,"119,625",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 180,XX121H  180,33.9337027,-83.6265149
495,RESIDENTIAL SINGLE FAMILY,33 CONDOR CT,"119,625",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 182,XX121H  182,33.9337027,-83.6265149
496,RESIDENTIAL SINGLE FAMILY,1125 DAURIAN DR,"119,625",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 188,XX121H  188,33.9348065,-83.6281948
497,RESIDENTIAL SINGLE FAMILY,1088 DAURIAN DR,"119,625",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 34,XX121H  034,33.9348065,-83.6281948
498,RESIDENTIAL SINGLE FAMILY,1198 DAURIAN DR,"119,625",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 39,XX121H  039,33.9348503,-83.6283219
499,RESIDENTIAL SINGLE FAMILY,1242 DAURIAN DR,"119,625",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 41,XX121H  041,33.9348065,-83.6281948
500,RESIDENTIAL SINGLE FAMILY,226 DOOLY DR,"119,020",2/19/24,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 15,XX120A  015,33.9465324,-83.603405
501,RESIDENTIAL SINGLE FAMILY,69 DOOLY DR,"119,020",3/22/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 5,XX120A  005,33.9477163,-83.6031203
365,RESIDENTIAL SINGLE FAMILY,66 ELMARRY LANE,"127,545",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 8  PHASE 1A,XX053R  008,33.93601744,-83.79959162
503,RESIDENTIAL SINGLE FAMILY,195 DOOLY DRIVE,"119,020",5/22/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 9,XX120A  009,33.946431,-83.602846
504,RESIDENTIAL SINGLE FAMILY,1106 DEE KENNEDY RD,"118,800",8/17/23,SINGLE FAMILY HOME,,XX030  003,34.0430063,-83.8083707
505,RESIDENTIAL SINGLE FAMILY,356 WESTMINSTER TRAIL,"118,415",8/24/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 37,XX108M  037,33.9319095,-83.6474446
506,RESIDENTIAL SINGLE FAMILY,79 WESTMINSTER CT,"118,415",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 7,XX108M  007,33.9296376,-83.6447647
507,RESIDENTIAL SINGLE FAMILY,239 WESTMINSTER TRAIL,"118,415",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 27,XX108M  027,33.9303737,-83.6459824
508,RESIDENTIAL SINGLE FAMILY,138 MULBERRY GROVE DR,"118,250",6/29/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 6,XX056C  006,34.055377,-83.7338474
509,RESIDENTIAL SINGLE FAMILY,194 MULBERRY GROVE DR,"118,250",6/29/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 8,XX056C  008,34.0555889,-83.7347586
450,RESIDENTIAL SINGLE FAMILY,7 FEENEY ST,"122,430",2/9/24,SINGLE FAMILY HOME,CASTEEL  LOT 58  PHASE 1A,XX053R  058,33.94012308,-83.79735927
511,RESIDENTIAL SINGLE FAMILY,154 DOVE FIELD DR,"118,250",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 65,XX133A  065,33.9576211,-83.5739674
512,RESIDENTIAL SINGLE FAMILY,198 DOVE FIELD DR,"118,250",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 67,XX133A  067,33.9576211,-83.5739674
513,RESIDENTIAL SINGLE FAMILY,151 DOVE FIELD DR,"118,250",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 88,XX133A  088,33.9576211,-83.5739674
514,RESIDENTIAL SINGLE FAMILY,89 DOVE FIELD DR,"118,250",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 92,XX133A  092,33.9571552,-83.5740141
515,RESIDENTIAL SINGLE FAMILY,123 MULBERRY GROVE DR,"118,250",8/15/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 35,XX056C  035,34.0553239,-83.7336196
524,RESIDENTIAL SINGLE FAMILY,72 MEAGAN ST,"118,250",3/7/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 68,XX137D  068,33.98716944,-83.55367224
517,RESIDENTIAL SINGLE FAMILY,269 BROOKLAND CT,"118,250",11/7/23,SINGLE FAMILY HOME,SHADOW BROOK  LOT 22,XX107G  022,33.951128,-83.641254
518,RESIDENTIAL SINGLE FAMILY,236 MULBERRY GROVE DR,"118,250",12/18/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 10,XX056C  010,34.0557456,-83.7354428
519,RESIDENTIAL SINGLE FAMILY,344 MULBERRY GROVE DR,"118,250",1/16/24,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 12,XX056C  012,34.0546952,-83.7362173
520,RESIDENTIAL SINGLE FAMILY,454 MULBERRY GROVE DR,"118,250",1/16/24,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 14,XX056C  014,34.0542567,-83.7347717
521,RESIDENTIAL SINGLE FAMILY,66 MULBERRY GROVE DR,"118,250",2/8/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 3,XX056C  003,34.0557668,-83.7329586
522,RESIDENTIAL SINGLE FAMILY,37 MULBERRY GROVE DR,"118,250",2/8/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 37,XX056C  037,34.0561293,-83.7327786
455,RESIDENTIAL SINGLE FAMILY,78 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 9  PHASE 1A,XX053R  009,33.93564309,-83.80024182
374,RESIDENTIAL SINGLE FAMILY,81 MEAGAN ST,"126,500",7/25/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 86,XX137D  086,33.98746026,-83.55237427
525,RESIDENTIAL SINGLE FAMILY,196 WINDROW TRAIL,"118,250",3/30/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 37,XX133A  037,33.9612245,-83.573799
526,RESIDENTIAL SINGLE FAMILY,236 WINDROW TRAIL,"118,250",3/30/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 39,XX133A  039,33.9612245,-83.573799
527,RESIDENTIAL SINGLE FAMILY,21 ABEL LANE,"118,250",3/30/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 54,XX133A  054,33.9614893,-83.5732098
528,RESIDENTIAL SINGLE FAMILY,233 MULBERRY GROVE DR,"118,250",6/27/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 31,XX056C  031,34.0557381,-83.7354102
529,RESIDENTIAL SINGLE FAMILY,177 MULBERRY GROVE DR,"118,250",6/27/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 33,XX056C  033,34.0555285,-83.7344982
530,RESIDENTIAL SINGLE FAMILY,220 BOWMAN MILL RD SE,"118,085",3/7/23,SINGLE FAMILY HOME,,XX113  003J,33.983714,-83.637521
531,RESIDENTIAL SINGLE FAMILY,290 FINCH COURT,"117,480",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 29,XX111P  029,34.0326749,-83.62034
532,RESIDENTIAL SINGLE FAMILY,310 FINCH COURT,"117,480",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 31,XX111P  031,34.0327454,-83.6209553
533,RESIDENTIAL SINGLE FAMILY,240 FINCH CT,"117,480",4/21/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 26,XX111P  026,34.0327137,-83.6194587
534,RESIDENTIAL SINGLE FAMILY,103 FINCH CT,"117,480",4/21/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 44,XX111P  044,34.0338604,-83.6178471
535,RESIDENTIAL SINGLE FAMILY,2813 SOUTH PORT DR,"116,765",4/19/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 23,XX053L  035,33.93081,-83.79539
456,RESIDENTIAL SINGLE FAMILY,86 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 10  PHASE 1A,XX053R  010,33.93658846,-83.79573402
537,RESIDENTIAL SINGLE FAMILY,340 HYDE PARK,"115,225",6/30/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 90,XX049J  090,34.016256,-83.753315
538,RESIDENTIAL SINGLE FAMILY,767 KNIGHTSBRIDGE LANE,"115,225",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 140,XX049J  140,34.016285,-83.7573187
539,RESIDENTIAL SINGLE FAMILY,764 KNIGHTSBRIDGE LANE,"115,225",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 146,XX049J  146,34.016285,-83.7573188
540,RESIDENTIAL SINGLE FAMILY,347 E MIDLAND AVE,"115,225",10/30/23,SINGLE FAMILY HOME,,XX091  029,33.978414,-83.703278
541,RESIDENTIAL SINGLE FAMILY,353 E MIDLAND AVE,"115,225",10/30/23,SINGLE FAMILY HOME,,XX091  029B,33.9784365,-83.7028402
542,RESIDENTIAL SINGLE FAMILY,304 FINCH COURT,"115,225",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 30,XX111P  030,34.0322205,-83.6208193
543,RESIDENTIAL SINGLE FAMILY,315 FINCH COURT,"115,225",1/8/24,SINGLE FAMILY HOME,FINCH LANDING  LOT 33,XX111P  033,34.0333559,-83.6209361
544,RESIDENTIAL SINGLE FAMILY,667 KNIGHTSBRIDGE LANE,"115,225",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 131,XX049J  131,34.01825,-83.757463
545,RESIDENTIAL SINGLE FAMILY,200 HYDE PARK,"115,225",3/2/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 104,XX049J  104,34.017783,-83.754673
546,RESIDENTIAL SINGLE FAMILY,223 HYDE PARK,"115,225",3/29/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 73,XX049J  073,34.017274,-83.754996
547,RESIDENTIAL SINGLE FAMILY,250 FINCH CT,"115,225",4/21/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 27,XX111P  027,34.0326749,-83.619795
548,RESIDENTIAL SINGLE FAMILY,260 HYDE PARK,"115,225",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 98,XX049J  098,34.017123,-83.754114
549,RESIDENTIAL SINGLE FAMILY,293 HYDE PARK,"115,225",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 80,XX049J  080,34.016504,-83.754343
550,RESIDENTIAL SINGLE FAMILY,593 DUNAGAN COURT,"113,410",7/26/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 16,XX051F  016,33.9821616,-83.7771812
551,RESIDENTIAL SINGLE FAMILY,568 DUNAGAN CT,"111,815",7/10/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 17,XX051F  017,33.9817484,-83.7773235
552,RESIDENTIAL SINGLE FAMILY,85 FINCH CT,"111,705",4/21/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 45,XX111P  045,34.0331273,-83.6170386
553,RESIDENTIAL SINGLE FAMILY,316 FINCH COURT,"111,595",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 32,XX111P  032,34.0330154,-83.621034
554,RESIDENTIAL SINGLE FAMILY,275 FINCH COURT,"111,595",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 36,XX111P  036,34.0333417,-83.6200398
555,RESIDENTIAL SINGLE FAMILY,227 FINCH COURT,"111,595",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 37,XX111P  037,34.0336744,-83.6196317
556,RESIDENTIAL SINGLE FAMILY,1 LYNDHURST DRIVE,"110,825",6/30/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 63,XX053L  189,33.9298831,-83.7974156
557,RESIDENTIAL SINGLE FAMILY,1222 LYNDHURST LANE,"110,825",6/30/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 68,XX053L  194,33.9308329,-83.7976252
558,RESIDENTIAL SINGLE FAMILY,1061 NANTUCKET WAY,"110,825",1/20/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 24,XX053L  150,33.932467,-83.7954396
559,RESIDENTIAL SINGLE FAMILY,1036 NANTUCKET WAY,"110,825",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 16,XX053L  142,33.9325828,-83.7959012
560,RESIDENTIAL SINGLE FAMILY,1004 NANTUCKET WAY,"110,825",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 18,XX053L  144,33.9324626,-83.7964254
561,RESIDENTIAL SINGLE FAMILY,1099 LYNDHURST LANE,"110,825",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 28,XX053L  154,33.9316024,-83.7958037
562,RESIDENTIAL SINGLE FAMILY,1076 LYNDHURST LANE,"110,825",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 77,XX053L  203,33.9319195,-83.7948955
563,RESIDENTIAL SINGLE FAMILY,1046 LYNDHURST LANE,"110,825",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 79,XX053L  205,33.9321713,-83.7946778
564,RESIDENTIAL SINGLE FAMILY,211 LYNDHURST DR,"110,825",3/15/23,SINGLE FAMILY  HOME,WATERSIDE AT RIVERWALK  LOT 42,XX053L  168,33.9319669,-83.7975392
565,RESIDENTIAL SINGLE FAMILY,212 LYNDHURST DR,"110,825",4/21/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 45,XX053L  171,33.9319669,-83.7975392
566,RESIDENTIAL SINGLE FAMILY,124 LYNDHURST DR,"110,825",5/17/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 53,XX053L  179,33.9313434,-83.798381
567,RESIDENTIAL SINGLE FAMILY,2 LYNDHURST DR,"110,825",5/25/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 62,XX053L  188,33.9298831,-83.7974156
568,RESIDENTIAL SINGLE FAMILY,1192 LYNDHURST LANE,"110,825",6/23/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 70,XX053L  196,33.9310313,-83.797178
569,RESIDENTIAL SINGLE FAMILY,1206 LYNDHURST LANE,"110,825",6/23/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 69,XX053L  195,33.9308959,-83.7973655
570,RESIDENTIAL SINGLE FAMILY,55 DANIELLE DR,"110,440",10/19/23,SINGLE FAMILY HOME,WILLIAMS POINTE  LOT 3,XX125A 003,33.994822,-83.565465
414,RESIDENTIAL SINGLE FAMILY,88 NATIVITY COVE,"124,960",10/24/23,SINGLE FAMILY HOME,SHEPARDS WALK  LOT 34,BE04A  034,33.95320569,-83.70354203
457,RESIDENTIAL SINGLE FAMILY,94 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 11  PHASE 1A,XX053R  011,33.93554392,-83.79768847
573,RESIDENTIAL SINGLE FAMILY,1289 EVANS RD,"110,000",9/25/23,SINGLE FAMILY HOME,,XX026  161,34.0756945,-83.8284296
574,RESIDENTIAL SINGLE FAMILY,2473 RAT KINNEY RD,"110,000",10/3/23,SINGLE FAMILY HOME,,XX137E  003,33.9773315,-83.5561715
371,RESIDENTIAL SINGLE FAMILY,94 MEAGAN ST,"126,500",7/25/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 69,XX137D  069,33.98746026,-83.55237427
576,RESIDENTIAL SINGLE FAMILY,383 WESTMINSTER TRAIL,"109,780",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 33,XX108M  033,33.9319383,-83.6463606
577,RESIDENTIAL SINGLE FAMILY,2437 KUMBANAD CT,"107,305",6/9/23,SINGLE FAMILY HOME,KERALA  LOT 29A,XX121B 035,33.939779,-83.625952
578,RESIDENTIAL SINGLE FAMILY,701 KNIGHTSBRIDGE LANE,"107,140",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 134,XX049J  134,34.016285,-83.7573187
579,RESIDENTIAL SINGLE FAMILY,1367 CARL BETHLEHEM RD,"105,820",2/8/24,SINGLE FAMILY HOME,,XX051  004A,33.9831885,-83.7959498
580,RESIDENTIAL SINGLE FAMILY,435 GRAYSTONE DR,"105,600",4/28/23,SINGLE FAMILY HOME,STONEGATE  LOT 16,XX092A 016,33.980246,-83.691632
581,RESIDENTIAL SINGLE FAMILY,35 JOSEPH ST,"101,805",3/28/23,SINGLE FAMILY HOME,,BE06   031,33.9298406,-83.7113827
582,RESIDENTIAL SINGLE FAMILY,1159 DOUBLE BRIDGES RD,"100,650",3/29/23,SINGLE FAMILY HOME,,XX111  077,34.0281856,-83.6017264
583,RESIDENTIAL SINGLE FAMILY,240 HYDE PARK,"100,485",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 100,XX049J  100,34.0173429,-83.7543
584,RESIDENTIAL SINGLE FAMILY,1291 JEANNINE LANE,"99,550",1/8/24,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 26,XX107E  135,33.9653232,-83.670564
585,RESIDENTIAL SINGLE FAMILY,1313 JEANNINE LANE,"99,550",1/8/24,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 28,XX107E  137,33.966057,-83.6698268
586,RESIDENTIAL SINGLE FAMILY,1314 JEANNINE LANE,"99,550",1/8/24,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 29,XX107E  138,33.9656004,-83.670761
587,RESIDENTIAL SINGLE FAMILY,1152 JEANNINE LANE,"99,550",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 46,XX107E  155,33.96467,-83.6684226
588,RESIDENTIAL SINGLE FAMILY,1134 JEANNINE LANE,"99,550",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 48,XX107E  157,33.9646078,-83.6681281
589,RESIDENTIAL SINGLE FAMILY,1116 JEANNINE LANE,"99,550",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 50,XX107E  159,33.9645421,-83.6678171
590,RESIDENTIAL SINGLE FAMILY,1096 JEANNINE LANE,"99,550",1/25/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 52,XX107E  161,33.9644545,-83.6674679
591,RESIDENTIAL SINGLE FAMILY,1202 JEANNINE LANE,"99,550",2/8/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 41,XX107E  150,33.964833,-83.6692432
592,RESIDENTIAL SINGLE FAMILY,1172 JEANNINE LANE,"99,550",5/22/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 44,XX107E  153,33.9647391,-83.6687498
593,RESIDENTIAL SINGLE FAMILY,29 LIBERTY COURT,"99,550",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 33,XX107E  142,33.9645585,-83.6701027
594,RESIDENTIAL SINGLE FAMILY,33 LIBERTY COURT,"99,550",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 35,XX107E  144,33.964503,-83.6701182
595,RESIDENTIAL SINGLE FAMILY,32 LIBERTY COURT,"99,550",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 37,XX107E  146,33.9645307,-83.6701105
